run_id,target_id,retailer,country,sku_id,sku_url,category,strategy,status_code,latency_ms,bytes_received,is_reached,is_content_ok,is_identified,is_extracted,is_validated,template_id,failure_category,failure_reason,anti_bot_vendor
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0001,https://www.boulanger.com/product/sku_0001,Laptops & Notebooks,PLAYWRIGHT,400,3815.44,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0001,https://www.boulanger.com/product/sku_0001,Laptops & Notebooks,FIRECRAWL,400,1698.77,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0002,https://www.boulanger.com/product/sku_0002,Smartphones & Mobile,HTTP,404,1180.23,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0002,https://www.boulanger.com/product/sku_0002,Smartphones & Mobile,PLAYWRIGHT,400,3440.09,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0002,https://www.boulanger.com/product/sku_0002,Smartphones & Mobile,FIRECRAWL,400,1632.27,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0003,https://www.boulanger.com/product/sku_0003,Audio & Headphones,HTTP,404,1141.6,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0003,https://www.boulanger.com/product/sku_0003,Audio & Headphones,PLAYWRIGHT,400,3312.5,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0003,https://www.boulanger.com/product/sku_0003,Audio & Headphones,FIRECRAWL,400,1520.5,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0004,https://www.boulanger.com/product/sku_0004,Monitors & Displays,HTTP,404,884.63,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0004,https://www.boulanger.com/product/sku_0004,Monitors & Displays,PLAYWRIGHT,400,3311.41,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0004,https://www.boulanger.com/product/sku_0004,Monitors & Displays,FIRECRAWL,400,1752.83,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0005,https://www.boulanger.com/product/sku_0005,Storage & Memory,HTTP,404,1210.86,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0005,https://www.boulanger.com/product/sku_0005,Storage & Memory,PLAYWRIGHT,400,3416.71,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0005,https://www.boulanger.com/product/sku_0005,Storage & Memory,FIRECRAWL,400,1486.18,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0006,https://www.boulanger.com/product/sku_0006,Laptops & Notebooks,HTTP,404,1038.77,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0006,https://www.boulanger.com/product/sku_0006,Laptops & Notebooks,PLAYWRIGHT,400,3271.55,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0006,https://www.boulanger.com/product/sku_0006,Laptops & Notebooks,FIRECRAWL,400,1605.76,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0007,https://www.boulanger.com/product/sku_0007,Smartphones & Mobile,HTTP,404,1084.07,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0007,https://www.boulanger.com/product/sku_0007,Smartphones & Mobile,PLAYWRIGHT,400,3501.64,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0007,https://www.boulanger.com/product/sku_0007,Smartphones & Mobile,FIRECRAWL,400,1686.92,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0008,https://www.boulanger.com/product/sku_0008,Audio & Headphones,HTTP,404,1195.18,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0008,https://www.boulanger.com/product/sku_0008,Audio & Headphones,PLAYWRIGHT,400,3262.24,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0008,https://www.boulanger.com/product/sku_0008,Audio & Headphones,FIRECRAWL,400,1521.12,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0009,https://www.boulanger.com/product/sku_0009,Monitors & Displays,HTTP,404,1407.61,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0009,https://www.boulanger.com/product/sku_0009,Monitors & Displays,PLAYWRIGHT,400,3613.78,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0009,https://www.boulanger.com/product/sku_0009,Monitors & Displays,FIRECRAWL,400,1530.05,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0010,https://www.boulanger.com/product/sku_0010,Storage & Memory,HTTP,404,1030.87,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0010,https://www.boulanger.com/product/sku_0010,Storage & Memory,PLAYWRIGHT,400,3423.63,248,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0010,https://www.boulanger.com/product/sku_0010,Storage & Memory,FIRECRAWL,400,1733.02,415,True,False,False,False,False,tmpl_none,NETWORK,UNKNOWN_FAILURE,
